College Board Code,School Name,Course Record ID,Course Title,Transcript Abbreviation(s),Course Number(s),Course Length,Subject Area,Discipline,UC Honors Designation,CTE Industry Sector,CTE Pathway,school_code
052840,Garfield High School,AX5TFL,"Modern World History & Geography 1,2","MD WD HST/G1,2 (P),MD WD HSTG1P,MD WD HSTG2P","6605, 6606,6605,6606",Full Year,History / Social Science (A),World History / Cultures / Historical Geography,None,,,361
052840,Garfield High School,G7H8J3,"Power and Identity Around the World 1, 2","IDENT PWR ARND WLD 1, 2 (P)","6945, 6946",Full Year,History / Social Science (A),World History / Cultures / Historical Geography,None,,,361
052840,Garfield High School,PCZNBA,"World History 1,2 Advanced","World History 1,2 Advanced / W HST 1,2 ADV(P),W HST 1 ADVP,W HST 2 ADVP","6645,6646,6645,6646",Full Year,History / Social Science (A),World History / Cultures / Historical Geography,None,,,361
052840,Garfield High School,TEN49F,"World History, Culture, and Geography ","EDG CA WLD HIST 1,2 (P),EDG CA WLD HIST 1P,EDG CA WLD HIST 2P,EDG CA WLD HIST 1,2 CR (P)","6707, 6708,6707,6708,6707R, 6708R",Full Year,History / Social Science (A),World History / Cultures / Historical Geography,None,,,361
052840,Garfield High School,HBZHSL,French I ,"EDG FRN I A,B (P),EDG FRN I A P,EDG FRN I B P,EDG FRN I A CR (P),EDG FRN I B CR (P)","4771, 4772,4771,4772,4771R,4772R",Full Year,Language Other than English (E),LOTE Level 1,None,,,361
052840,Garfield High School,QTXERM,"Spanish 1,2","SPN 1-2 (P),SPN 1P,SPN 2P","2321/2322,2321,2322",Full Year,Language Other than English (E),LOTE Level 1,None,,,361
052840,Garfield High School,CQGJ7DH,"Spanish for Spanish Speakers 1,2",SP SPKRS 1-2 (P),2345/2346,Full Year,Language Other than English (E),LOTE Level 1,None,,,361
052840,Garfield High School,JC2SX8,Spanish I ,"EDG SPN I A, B (P),EDG SPN I A CR (P),EDG SPN I B CR (P),EDG SPN I A P,EDG SPN I B P","4715, 4716,4715R,4716R,4715,4716",Full Year,Language Other than English (E),LOTE Level 1,None,,,361
052840,Garfield High School,LEB627,French II ,"EDG FRN II A, B (P),EDG FRN II A P,EDG FRN II B P,EDG FRN II A CR (P),EDG FRN II B CR (P)","4773, 4774,4773,4774,4773R,4774R",Full Year,Language Other than English (E),LOTE Level 2,None,,,361
052840,Garfield High School,DP9EYD,Spanish 3-4,"SPN 3-4 (P),SPN 3P,SPN 4P","2323/2324,2323,2324",Full Year,Language Other than English (E),LOTE Level 2,None,,,361
052840,Garfield High School,CJJC3EP,"Spanish for Spanish Speakers 3,4","SP SPKRS 3, 4(P),SP SPKRS 3P,SP SPKRS 4P","2347/2348,2347,2348",Full Year,Language Other than English (E),LOTE Level 2,None,,,361
052840,Garfield High School,HB3JTZ,Spanish II ,"EDG SPN II A P,EDG SPN II B P,EDG SPN II A CR (P),EDG SPN II B CR (P)","4717,4718,4717R,4718R",Full Year,Language Other than English (E),LOTE Level 2,None,,,361
052840,Garfield High School,JPN9XA,French III ,"EDG FRN III A, B (P),EDG FRN III A CR (P),EDG FRN III B CR (P),EDG FRN III A P,EDG FRN III B P","4775, 4776,4775R,4776R,4775,4776",Full Year,Language Other than English (E),LOTE Level 3,None,,,361
052840,Garfield High School,GCHTMQ,Spanish 5-6,"SPN 5P,SPN 5,6 (P),SPN 6P","2325,2325,2326,2326",Full Year,Language Other than English (E),LOTE Level 3,None,,,361
052840,Garfield High School,BG9QZRH,"Spanish for Spanish Speakers 5,6","SP SPKRS 5, 6 (P),SP SPKRS 5P,SP SPKRS 6P","2349/2350,2349,2350",Full Year,Language Other than English (E),LOTE Level 3,None,,,361
052840,Garfield High School,MBY25S,Spanish III ,"EDG SPN III A, B (P),EDG SPN III A CR (P),EDG SPN III B CR (P),EDG SPN III A P,EDG SPN III B P","4722, 4723,4722R,4723R,4722,4723",Full Year,Language Other than English (E),LOTE Level 3,None,,,361
052840,Garfield High School,WA7WRK,"Spanish 7,8","SPN 7, 8 (P)","2327, 2328",Full Year,Language Other than English (E),LOTE Level 4+,None,,,361
052840,Garfield High School,E7WYTE,Integrated Math I A-B,INTEG MATH I A-B (P),4157-4158,Full Year,Mathematics (C),Mathematics I,None,,,361
052840,Garfield High School,NCXTQK,Integrated Mathematics I Advanced,"INTG MATH I A ADV,INTG MATH I B ADV,INTG MATH I A ADVP,INTG MATH I B ADVP","4165,4166,4165,4166",Full Year,Mathematics (C),Mathematics I,None,,,361
052840,Garfield High School,EH95KB,Mathematics I,"EDG MATHEMATICS I A-B (P),EDG MATHEMATICS I A-B CR (P),EDG MATHEMATICS I AP,EDG MATHEMATICS I BP","4742, 4743,4742R, 4743R,4742,4743",Full Year,Mathematics (C),Mathematics I,None,,,361
052840,Garfield High School,BC6LZG,Integrated Math II A-B,INTEG MATH II A-B (P),4159-4160,Full Year,Mathematics (C),Mathematics II,None,,,361
052840,Garfield High School,DM9SJ7,Integrated Mathematics II Advanced,"INTG MATH II A ADV,INTG MATH II B ADV,INTG MATH II A ADVP,INTG MATH II B ADVP","4167,4168,4167,4168",Full Year,Mathematics (C),Mathematics II,None,,,361
052840,Garfield High School,AJCSLR,Mathematics II,"EDG MATHEMATICS II A-B (P),EDG MATHEMATICS II A-B CR (P),EDG MATHEMATICS II AP,EDG MATHEMATICS II BP","4744, 4745,4744R, 4745R,4744,4745",Full Year,Mathematics (C),Mathematics II,None,,,361
052840,Garfield High School,NN4M3B,Integrated Math III A-B,"INT MATH III A-B,INTG MATH III AP,INTG MATH III BP","4163, 4164,4163,4164",Full Year,Mathematics (C),Mathematics III,None,,,361
052840,Garfield High School,EN4Z2H8,"Integrated Math III, Advanced","INTG MATH III A,B ADV,INTG MATH III A ADVP,INTG MATH III B ADVP","4169, 4170,4169,4170",Full Year,Mathematics (C),Mathematics III,None,,,361
052840,Garfield High School,YARLPK,Mathematics III,"EDG MATHEMATICS III A-B (P),EDG MATHEMATICS III A-B CR (P),EDG MATHEMATICS III AP,EDG MATHEMATICS III BP","4746, 4747,4746R, 4747R,4746,4747",Full Year,Mathematics (C),Mathematics III,None,,,361
052840,Garfield High School,LJG53K,Precalculus 1-2,"Precalculus 1,2 / PRCAL1,2 (P),PRCAL1 P,PRCAL2 P","4161, 4162,4161,4162",Full Year,Mathematics (C),Other Advanced Mathematics,None,,,361
052840,Garfield High School,FBXY62,Statistics & Data Analysis 1-2,"Statistics & Data Analysis 1,2 / STATDAT AN 1,2(P),STATDAT AN 1P,STATDAT AN 2P","4046, 4047,4046,4047",Full Year,Mathematics (C),Other Advanced Mathematics,None,,,361
052840,Garfield High School,LTN98Z,Pre-Calculus ,"EDG CC PRECAL 1-2 (P),EDG CC PRECAL 1-2 CR (P)","4263-4264,4263R, 4264R",Full Year,Mathematics (C),Pre-Calculus,None,,,361
052840,Garfield High School,JA45RQ,"Biology 1,2","BIOLOGY 2(P),BIOLOGY 1(P),BIOLOGY 1P,BIOLOGY 2P","6112,6111,6111,6112",Full Year,Science (D),Biology / Life Sciences,None,,,361
052840,Garfield High School,M6GMS2,Biology 1/2 Advanced,"Biology 1,2 Advanced / BIO 1,2 ADV (P),BIO 1 ADV   P,BIO 2 ADV   P","6121, 6122,6121,6122",Full Year,Science (D),Biology / Life Sciences,None,,,361
052840,Garfield High School,MN34GE,Biology: The Living Earth,"BIO LIVING EARTH1,2 (P)","6238,6239",Full Year,Science (D),Biology/Earth & Space Sciences,None,,,361
052840,Garfield High School,PNHMQD,The Living Earth with Labs,"EDG LIVEARTH W/LABS1,2 (P),EDG LIVEARTH WLABS1,2CR (P)","6253, 6254,6253R, 6254R",Full Year,Science (D),Biology/Earth & Space Sciences,None,,,361
052840,Garfield High School,QK2Y74,Chemistry 1/2,"Chemistry 1,2 / CHEMISTRY 1,2(P),CHEMISTRY 1P,CHEMISTRY 2P","6211, 6212,6211,6212",Full Year,Science (D),Chemistry,None,,,361
052840,Garfield High School,P4D9KX,Chemistry in the Earth System,"CHEM EARTH SYS1,2 (P)","6248,6249",Full Year,Science (D),Chemistry/Earth & Space Sciences,None,,,361
052840,Garfield High School,KGDKSJ,Chemistry in the Earth System with Labs,"EDG CHEM ES W/LABS 1,2 (P),EDG CHEM ES WLABS 1,2 CR (P)","6251, 6252,6251R, 6152R",Full Year,Science (D),Chemistry/Earth & Space Sciences,None,,,361
052840,Garfield High School,LCKTHP,Marine Science1/2,"MARINE SCI 1,2(P),MARINE SCI 1P,MARINE SCI 2P","6441,6442,6441,6442",Full Year,Science (D),Interdisciplinary Sciences,None,Agriculture and Natural Resources,Forestry and Natural Resources,361
052840,Garfield High School,KR9X56,"Physics 1,2","PHYSICS 2(P),PHYSICS 1(P),PHYSICS 1P,PHYSICS 2P","6312,6311,6311,6312",Full Year,Science (D),Physics,None,,,361
052840,Garfield High School,KWS743,Physics 1/2 Advanced,"PHYS 1,2 ADV (P),PHYS 1 ADV  P,PHYS 2 ADV  P","6321, 6322,6321,6322",Full Year,Science (D),Physics,None,,,361
052840,Garfield High School,RQGX8Y,Physics in the Universe with Labs,"EDG PHYS UNV W/LABS 1,2 (P),EDG PHY UNV WLABS1,2CR (P)","6255, 6256,6255R, 6256R",Full Year,Science (D),Physics/Earth & Space Sciences,None,,,361
052840,Garfield High School,EQ27JE,Physics of the Universe,"PHYSICS UNIVERSE1,2 (P)","6244,6245",Full Year,Science (D),Physics/Earth & Space Sciences,None,,,361
052840,Garfield High School,DNR9MK4,"Music Appreciation 1,2","MUSIC APPR 1,2 (P)",5381/5382,Full Year,Visual & Performing Arts (F),Music,None,,,361
052840,Garfield High School,KLWCMK,"Art 1,2","ART 1 (P),ART 2 (P)","0191,0192",Full Year,Visual & Performing Arts (F),Visual Arts,None,,,361
052840,Garfield High School,DAN285,CA - Visual Arts,EDG CA ART,0407,Half Year,Visual & Performing Arts (F),Visual Arts,None,,,361
052840,Garfield High School,CBG3YE,"Color and Design 1,2","COL & DES 1,2(P)",0241/0242,Full Year,Visual & Performing Arts (F),Visual Arts,None,,,361
052840,Garfield High School,GX86PB,"Drawing & Painting 1,2","DRW & PTG 1,2 (P)",0271/0272,Full Year,Visual & Performing Arts (F),Visual Arts,None,,,361
052850,Herbert Hoover High School,ZJ79PN,Public Speaking 5/6,"PUB SPKG 6(P),PUB SPKG 5(P)","1420,1419",Full Year,College-Preparatory Elective (G),English,None,,,338
052850,Herbert Hoover High School,Q8R634,"ELD with ALD 5,6","ELD/ALD 5,6","1355,1356",Full Year,College-Preparatory Elective (G),English as a Second Language (ESL) / English Language Development (ELD),None,,,338
052850,Herbert Hoover High School,QDP2HG,African American History,"EDG AFR-AMER HISTORY (P),EDG AFR-AMER HISTORYCR (P)","6560,6560R",Half Year,College-Preparatory Elective (G),History / Social Science,None,,,338
052850,Herbert Hoover High School,GWP8AM,AP Psychology,"PSYCH 1,2 AP (HP)","6834, 6835",Full Year,College-Preparatory Elective (G),History / Social Science,AP,,,338
052850,Herbert Hoover High School,C9AJMR,"Critical Thinking and Social Change 1,2","CRITICAL THNK/SOC CHG 1,2 (P)","1090, 1091",Full Year,College-Preparatory Elective (G),History / Social Science,None,"Education, Child Development, and Family Services",Education,338
052850,Herbert Hoover High School,TEGBFD,Economics ,"EDG CA ECON (P),EDG CA ECON CR(P)","6550,6550R",Half Year,College-Preparatory Elective (G),History / Social Science,None,,,338
052850,Herbert Hoover High School,LP29JT,Introductions to Ethnic Studies,"INTR ETH STUDIES 1P,INTR ETH STUDIES 2P,INTR ETH STUDIES 1,2 (P)","6736,6737,6736, 6737",Full Year,College-Preparatory Elective (G),History / Social Science,None,,,338
052850,Herbert Hoover High School,CPTM56,Principles of Economics 1,"PR ECON 1 (P),PR ECON 1 P","6758,6758",Half Year,College-Preparatory Elective (G),History / Social Science,None,,,338
052850,Herbert Hoover High School,B87WTS,Psychology ,"EDG PSYCH 1,2 (P)","6554,6555",Full Year,College-Preparatory Elective (G),History / Social Science,None,,,338
052850,Herbert Hoover High School,HGLQ5N,Sociology ,EDG SOCIOLOGY (P),6557,Half Year,College-Preparatory Elective (G),History / Social Science,None,,,338
052850,Herbert Hoover High School,MQS8FM,World Regional Geography ,EDG WLD REG GEOG (P),6558,Half Year,College-Preparatory Elective (G),History / Social Science,None,,,338
052850,Herbert Hoover High School,CNHG43,"Architectural Design 1,2","ARCHIT DESIGN 1,2 (P)","3695, 3696",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,Engineering and Architecture,Architectural Design,338
052850,Herbert Hoover High School,DK9ELZ,"Architectural Design 1,2 Honors","ARCHIT DES 1,2 HRS(HP)","3687, 3688",Full Year,College-Preparatory Elective (G),Interdisciplinary,Honors,Engineering and Architecture,Architectural Design,338
052850,Herbert Hoover High School,E74C6D,"ARMY JROTC ELECTIVE 5,6","AJROTC ELECT 5,6 (P)","4565, 4566",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,338
052850,Herbert Hoover High School,HHZ63M,Art History I ,EDG ART HIST I (P),0416,Half Year,College-Preparatory Elective (G),Interdisciplinary,None,,,338
052850,Herbert Hoover High School,CWMPGF,"ASB Leadership 1,2","ASB LEADERSHIP 1,2 (P)","0850, 0851",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,338
052850,Herbert Hoover High School,ZL5AK3,AVID 10,"AVID 10 A P,AVID 10 B P,AVID 10 A, B (P)","8209,8210,8209, 8210",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,338
052850,Herbert Hoover High School,NP2KRA,AVID 11,"AVID 11 A P,AVID 11 B P,AVID 11 A, B (P)","8227,8228,8227, 8228",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,338
052850,Herbert Hoover High School,A7W5RZ,AVID 12,"AVID 12 A, B (P),AVID 12 A P,AVID 12 B P","8221, 8222,8221,8222",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,338
052850,Herbert Hoover High School,TS9CXL,AVID 9,"AVID 9 A P,AVID 9 B P,AVID 9 A,B (P)","8207,8208,8207, 8208",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,338
052850,Herbert Hoover High School,DNNGQPB,"Broadcast Journalism 1,2","BRDCST JOUR 1,2 (P)","8432,8433",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,338
052850,Herbert Hoover High School,FFRN52,CA-Contemporary Health,EDG CA Health (P),2562,Half Year,College-Preparatory Elective (G),Interdisciplinary,None,,,338
052850,Herbert Hoover High School,HNK6Q8,Career Pathway Internship,"CAREER INTERNSHIP 1,2 (P)","0833,0834",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,338
052850,Herbert Hoover High School,CLBNET3,"Culinary Arts and Management 3,4","CUL ARTS MGMT 3,4 (P)","8762, 8763",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,"Hospitality, Tourism, and Recreation",Food Service and Hospitality,338
052850,Herbert Hoover High School,JZH42D,"Cybersecurity 3,4","CYBERSECURITY 3,4 (P)","8179, 8180",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,Information and Communication Technologies,Software and Systems Development,338
052850,Herbert Hoover High School,L9RXJF,Developing Future Mental and Behavioral Health Professionals Through Mentorships and Internships,"UCCI MENTAL BEHAV HLTH 1,2 (P)","2529, 2530",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,Health Science and Medical Technology,Mental and Behavioral Health,338
052850,Herbert Hoover High School,F4W7KY,Ethnic Studies S.K.I.L.L.S with English Language Development,"ETHN STUDIES with ELD 1,2 (P)","6998, 6999",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,338
052850,Herbert Hoover High School,CNEXBJN,"FOOD PREPARATION AND NUTRITION 1,2","FOOD PRE/NUTR 1 (P),FOOD PRE/NUTR 2 (P)","1165,1166",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,"Hospitality, Tourism, and Recreation",Food Service and Hospitality,338
052850,Herbert Hoover High School,A8C5TA,"Freshman Foundations 1,2","Freshman Found 1,2 (P)","1002, 1003",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,338
052850,Herbert Hoover High School,SZRBA7,"GIS: Modeling the Natural and Human Environment 1,2","GIS NAT HMN ENVR 1,2 (P)","6952, 6953",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,Information and Communication Technologies,Software and Systems Development,338
052850,Herbert Hoover High School,B534P7,"Health Science Careers 1,2","HLTH SCI CAREERS 1(P),HLTH SCI CAREERS 2(P)","0305, 0306",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,Health Science and Medical Technology,Mental and Behavioral Health,338
052850,Herbert Hoover High School,DGTXWN,Introduction to Coding,EDG INTR CODING (P),3689,Half Year,College-Preparatory Elective (G),Interdisciplinary,None,,,338
052850,Herbert Hoover High School,G2TPK9,"Leadership in Community Emergency Response 1,2","LEADERSHIP IN CERT 1, 2 (P)","4569,4570",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,338
052850,Herbert Hoover High School,MCB24A,Mind Matters: A Study of Mental Health & Illness ,"UCCI MIND MATTERS 1,2 (HP)","4898, 4899",Full Year,College-Preparatory Elective (G),Interdisciplinary,Honors,Health Science and Medical Technology,Mental and Behavioral Health,338
052850,Herbert Hoover High School,AH3H29M,MultiCraft Core Curriculum: Building Scaled Structures ,"UCCI MCC: BUILD SCALED 1,2 (HP)","3588, 3589",Full Year,College-Preparatory Elective (G),Interdisciplinary,Honors,Building and Construction Trades,Residential and Commercial Construction,338
052850,Herbert Hoover High School,ELJM64,Personal Finance,EDG PERSONAL FINANCE (P),6720,Half Year,College-Preparatory Elective (G),Interdisciplinary,None,,,338
052850,Herbert Hoover High School,JRCYX6,Restorative Justice: Impacting Campus and Community Through Service Learning,"UCCI RESTOR JUSTIC 1,2 (P)","6941, 6942",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,Public Services,Public Safety,338
052850,Herbert Hoover High School,NEKARC,Social Emotional Learning: The Heart of Education,"UCCI SEL:HEART OF ED 1,2 (P)","4896, 4897",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,"Education, Child Development, and Family Services",Education,338
052850,Herbert Hoover High School,CJC738,"Teaching Restorative Justice: Impacting Campus & Community Through Education & Service Learning 1,2","TRJ THRU EDU & SVC 1,2 (P)","3567,3568",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,"Education, Child Development, and Family Services",Education,338
052850,Herbert Hoover High School,D84XM6,"Teaching Restorative Justice: Impacting Campus & Community Through Education & Service Learning 3,4","TRJ THRU EDU & SVC 3 (P),TRJ THRU EDU & SVC 4 (P)","3793,3794",Full Year,College-Preparatory Elective (G),Interdisciplinary,None,"Education, Child Development, and Family Services",Education,338
052850,Herbert Hoover High School,ZBQLG8,Yearbook,PUBL/YRBK 9-12 (P),8421,Full Year,College-Preparatory Elective (G),Interdisciplinary,None,,,338
052850,Herbert Hoover High School,LWA764,Cybersecurity,CYBERSECURITY LL (P),"8359, 8360",Full Year,College-Preparatory Elective (G),Mathematics - Computer Science,None,Information and Communication Technologies,Information Support and Services,338
052850,Herbert Hoover High School,GJHG8S,"Culinary Arts and Management 1,2","CUL ARTS MGMT 1,2 (P)","8760, 8761",Full Year,College-Preparatory Elective (G),Science – Integrated Science,None,"Hospitality, Tourism, and Recreation","Food Science, Dietetics and Nutrition",338
052850,Herbert Hoover High School,BKPCGM,"Broadcast Journalism 3,4","BRDCST JOUR 3,4 (P)","8434,8435",Full Year,College-Preparatory Elective (G),Visual & Performing Arts,None,"Arts, Media, and Entertainment",Production and Managerial Arts,338
052850,Herbert Hoover High School,BQ5PD7T,"Fine Woodworking 1,2","FINE WOODWRK 1,2 (P)",8827/8828,Full Year,College-Preparatory Elective (G),Visual & Performing Arts,None,Building and Construction Trades,"Cabinetry, Millwork, and Woodworking",338
052850,Herbert Hoover High School,F42BDZ,"American Literature 1,2","AMERICAN LITERATURE 1, 2/AM LIT 1,2(P),AM LIT 1 P,AM LIT 2 P","1583, 1584,1583,1584",Full Year,English (B),English,None,,,338
052850,Herbert Hoover High School,C94Y6R,AP English Language and Composition,"English Lang/Comp 1,2 AP / ENGLGCP1,2AP (HP)","1655, 1656",Full Year,English (B),English,AP,,,338
052850,Herbert Hoover High School,KGX9E3,AP English Literature and Composition,"ENGLITCP1,2AP (HP),EDG AP ENGL LIT 1,2 (HP)","1653, 1654,4734,4735",Full Year,English (B),English,AP,,,338
052850,Herbert Hoover High School,GRLP5J,Bullets of Truth: English and Public Services,"UCCI BUL TRTH ENGL 1,2 (P)","4881, 4882",Full Year,English (B),English,None,Public Services,Public Safety,338
052850,Herbert Hoover High School,Q67CYQ,CSU Expository Reading and Writing,"ERWC 1,2 (P)","1698, 1699",Full Year,English (B),English,None,,,338
052850,Herbert Hoover High School,C6MXYZ,"English 1,2","ENGLISH 1 P,ENGLISH 2 P,ENGLISH 1,2 (P),ENGLISH 1,2 CL (P)","1540,1541,1540,1541,1540C,1541C",Full Year,English (B),English,None,,,338
052850,Herbert Hoover High School,FHZ8JW,"English 1,2: Identity and Relationships","ENG: IDENT & RELATIONSHPS 1,2 (P)","1371, 1372",Full Year,English (B),English,None,,,338
052850,Herbert Hoover High School,HDNMSE,"English 3,4","ENGLISH 3,4 (P),ENGLISH 3 P,ENGLISH 4 P","1570, 1571,1570,1571",Full Year,English (B),English,None,,,338
052850,Herbert Hoover High School,MFB367,"English 3,4 Advanced","ENG 3,4 ADV (P),ENG 3 ADV P,ENG 4 ADV P","1572, 1573,1572,1573",Full Year,English (B),English,None,,,338
052850,Herbert Hoover High School,S4T6A5,English 9 in the Context of Mental and Behavioral Health,"UCCI ENG9 MENTAL BEHAV HLTH 1,2(P)","0281, 0282",Full Year,English (B),English,None,Health Science and Medical Technology,Mental and Behavioral Health,338
052850,Herbert Hoover High School,WXCF7Z,English Language Arts 10,"EDG CC ELA 10TH 1,2 (P),EDG CC ELA 10TH 1 P,EDG CC ELA 10TH 2 P,EDG CC ELA 10TH 1,2 CR (P)","1897, 1898,1897,1898,1897R, 1898R",Full Year,English (B),English,None,,,338
052850,Herbert Hoover High School,E9ACTP,English Language Arts 11 ,"EDG CC ELA 11TH 1,2 (P),EDG CC ELA 11TH 1 P,EDG CC ELA 11TH 2 P,EDG CC ELA 11TH 1,2 CR (P)","1924, 1925,1924,1925,1924R, 1925R",Full Year,English (B),English,None,,,338
052850,Herbert Hoover High School,CFWYPT,English Language Arts 12 ,"EDG CC ELA 12TH 1,2 (P),EDG CC ELA 12TH 1,2 CR (P)","1926, 1927,1926R, 1927R",Full Year,English (B),English,None,,,338
052850,Herbert Hoover High School,KCBLXM,English Language Arts 9 ,"EDG CALIFORNIA ELA 9TH 1,2 (P),EDG CALIFORNIA ELA 9TH 1,2 CR (P)","1895, 1896,1895R, 1896R",Full Year,English (B),English,None,,,338
052850,Herbert Hoover High School,ECABCL5,"Honors American Literature 1,2 (H)","AM LT 1,2 HRS(HP)","1589, 1590",Full Year,English (B),English,Honors,,,338
052850,Herbert Hoover High School,Y7GD98,Social Action Theater: English 12 and the Performing Arts,"UCCI SOC ACT THEATER 1,2 (HP)","4877, 4878",Full Year,English (B),English,Honors,"Arts, Media, and Entertainment",Performing Arts,338
052850,Herbert Hoover High School,DFQ496W,"WRITERS WORKSHOP 1,2 (P)","WRITERS WK 1,2 (P)","1745, 1746",Full Year,English (B),English,None,,,338
052850,Herbert Hoover High School,CNM7EZB,"ELD 5,6","ELD 5,6 (P)",1579/1580,Full Year,English (B),English as a Second Language (ESL) / English Language Development (ELD),None,,,338
052850,Herbert Hoover High School,BD8CRHB,American Govt in World Affairs,AM GOVT W/A (P),6761,Half Year,History / Social Science (A),Civics / American Government,None,,,338
052850,Herbert Hoover High School,BKTMDN,AP Government and Politics Comparative,GV&P:CMP AP(HP),6849,Half Year,History / Social Science (A),Civics / American Government,AP,,,338
052850,Herbert Hoover High School,CHXZACM,AP Government and Politics United States,GOV&P: US AP (HP),6839/6839S,Half Year,History / Social Science (A),Civics / American Government,AP,,,338
052850,Herbert Hoover High School,EQ57GW,Government 1,"GOVERNMENT 1/GOVERNMENT1 (P),GOVERNMENT 1P","6757,6757",Half Year,History / Social Science (A),Civics / American Government,None,,,338
052850,Herbert Hoover High School,EB8CQJ,Journey for Justice in America: American Government & Public Services,"UCCI JRNY JUSTIC AM GVT 1,2 (P)","6939, 6940",Full Year,History / Social Science (A),Civics / American Government,None,Public Services,Legal Services,338
052850,Herbert Hoover High School,QES8K6,Principles of American Democracy ,"EDG CA PR/AM/DEMOC (P),EDG CA PR/AM/DEMOC CR (P),EDG CA PRAMDEMOCP,EDG CA PRAMDEMOC CRP","6717,6717R,6717,6717R",Half Year,History / Social Science (A),Civics / American Government,None,,,338
052850,Herbert Hoover High School,EK49EBQ,AP United States History,"US HST 1,2 AP (HP),US HST 1 APHP","6721, 6722,6721",Full Year,History / Social Science (A),U.S. History,AP,,,338
052850,Herbert Hoover High School,NDSAB4,"Honors U.S. History & Geography 1,2 (H)","USH&GE2HR (HP),USH&GE1HR (HP),USH&GE1HR  HP,USH&GE2 HR HP","6712,6711,6711,6712",Full Year,History / Social Science (A),U.S. History,Honors,,,338
052850,Herbert Hoover High School,F7X5EQ,Identity and Agency in US History,"IDENT/AGCY US HIST 1,2 (P)","6579, 6580",Full Year,History / Social Science (A),U.S. History,None,,,338
052850,Herbert Hoover High School,EWG9BJ,"U.S. History & Geography 1,2","US HST/GEO 1,2(P),US HSTGEO 1P,US HSTGEO 2P","6701,6702,6701,6702",Full Year,History / Social Science (A),U.S. History,None,,,338
052850,Herbert Hoover High School,SQJRB6,U.S. History and Geography ,"EDG CA US HIST/GEOG 1,2 (P),EDG CA US HIST/GEOG 1,2 CR (P),EDG CA US HISTGEOG 1P (P),EDG CA US HISTGEOG 2P (P)","6709, 6710,6709R, 6710R,6709,6710",Full Year,History / Social Science (A),U.S. History,None,,,338
052850,Herbert Hoover High School,DBR5HW,AP World History,"WD HST:MODERN 1,2 AP (HP),WD HST1,2 AP (HP)","6639, 6640,6639, 6640",Full Year,History / Social Science (A),World History / Cultures / Historical Geography,AP,,,338
052850,Herbert Hoover High School,FPELNJ,"Power and Identity Around the World 1, 2","IDENT PWR ARND WLD 1, 2 (P)","6945, 6946",Full Year,History / Social Science (A),World History / Cultures / Historical Geography,None,,,338
052850,Herbert Hoover High School,H39RLH,"World History, Culture, and Geography ","EDG CA WLD HIST 1,2 (P),EDG CA WLD HIST 1P,EDG CA WLD HIST 2P,EDG CA WLD HIST 1,2 CR (P)","6707, 6708,6707,6708,6707R, 6708R",Full Year,History / Social Science (A),World History / Cultures / Historical Geography,None,,,338
052850,Herbert Hoover High School,QQK3XY,French 1-2,"FR 1(P),FR 2(P)","2001,2002",Full Year,Language Other than English (E),LOTE Level 1,None,,,338
052850,Herbert Hoover High School,D9DESF,French I ,"EDG FRN I A,B (P),EDG FRN I A P,EDG FRN I B P,EDG FRN I A CR (P),EDG FRN I B CR (P)","4771, 4772,4771,4772,4771R,4772R",Full Year,Language Other than English (E),LOTE Level 1,None,,,338
052850,Herbert Hoover High School,Q2K8AS,"Spanish 1,2","SPN 1-2 (P),SPN 1P,SPN 2P","2321/2322,2321,2322",Full Year,Language Other than English (E),LOTE Level 1,None,,,338
052850,Herbert Hoover High School,DQGJ7DH,"Spanish for Spanish Speakers 1,2",SP SPKRS 1-2 (P),2345/2346,Full Year,Language Other than English (E),LOTE Level 1,None,,,338
052850,Herbert Hoover High School,FTGEKH,Spanish I ,"EDG SPN I A, B (P),EDG SPN I A CR (P),EDG SPN I B CR (P),EDG SPN I A P,EDG SPN I B P","4715, 4716,4715R,4716R,4715,4716",Full Year,Language Other than English (E),LOTE Level 1,None,,,338
052850,Herbert Hoover High School,PK7T2F,"French 3,4","FR 4 (P),FR 3 (P)","2004,2003",Full Year,Language Other than English (E),LOTE Level 2,None,,,338
